article,n_gram,tokens,model,flavor,preprocessed,pipeline,test_mean_accuracy,test_std_accuracy,test_mean_f-1,test_std_f-1,train_mean_accuracy,train_std_accuracy,train_mean_f-1,train_std_f-1,train_mean_c_MCC,train_std_c_MCC,test_mean_c_MCC,test_std_c_MCC,train_mean_TP,train_mean_TN,train_mean_FP,train_mean_FN,train_std_TP,train_std_TN,train_std_FP,train_std_FN,test_mean_TP,test_mean_TN,test_mean_FP,test_mean_FN,test_std_TP,test_std_TN,test_std_FP,test_std_FN,config_space
1,4,5000,xgboost,desc,0,None,0.9274437756625605,0.005664495942036675,0.9622633792377199,0.003092563723190363,0.9331697624805898,0.008207344907486095,0.965238450628487,0.004156935340748913,0.21656647799121007,0.1660657367380035,0.054530201409230636,0.11675097049041719,793.7,5.0,57.1,0.1,0.45825756949558405,7.26636084983398,7.313685801290618,0.30000000000000004,88.0,0.2,6.7,0.2,0.7745966692414834,0.4000000000000001,0.45825756949558405,0.6000000000000001,None
2,4,5000,xgboost,desc,0,None,0.903930479151718,0.0030343999194231194,0.9494889263527402,0.0017262026646208718,0.9108292494309878,0.007090734803477735,0.953025374192036,0.00351856341188171,0.15176641531442456,0.18591095283015385,0.014159627449369935,0.04247888234810981,914.7,6.7,89.6,0.6,0.7810249675906654,8.210359310042405,7.851114570556208,0.9165151389911679,101.5,0.1,10.6,0.2,0.9219544457292888,0.30000000000000004,0.66332495807108,0.6000000000000001,None
3,4,5000,xgboost,desc,0,None,0.9066955903311917,0.016892885923980822,0.949547412325427,0.009123897651613217,0.9067233226327348,0.0018796762057961157,0.9495585013495103,0.0010135327155426368,0.38439818797036746,0.015624404455124287,0.3806515665225379,0.14352087995594878,2033.1,66.6,183.6,32.4,2.6999999999999997,2.7640549922170505,2.576819745345025,2.5377155080899043,225.9,7.4,20.4,3.6,2.7,2.7640549922170505,2.5768197453450252,2.537715508089904,None
1,4,5000,random_forest,desc,0,None,0.9295600037327361,0.004632982756166469,0.9634166394822131,0.002372595941259039,0.999766355140187,0.0004672897196261516,0.9998741346758969,0.0002517306482064274,0.9982557332535537,0.003488533492892598,0.07314057747207311,0.14628115494414623,793.8,61.9,0.2,0.0,0.4,0.5385164807134504,0.4000000000000001,0.0,88.2,0.2,6.7,0.0,0.4,0.4000000000000001,0.45825756949558405,0.0,None
2,4,5000,random_forest,desc,0,None,0.8949533604400861,0.04734921501276899,0.9422612721934419,0.02656179272871569,0.9679691214996342,0.005502046361434047,0.9823702595219099,0.003038495981709453,0.8093960970413953,0.033295437968133175,0.3557708485191593,0.27046361784162276,902.9,76.3,20.0,12.4,6.073713855624086,5.64003546088143,5.347896782848375,6.102458520956943,96.7,3.9,6.8,5.0,3.7960505792204615,2.4269322199023193,2.3151673805580453,3.714835124201342,None
3,4,5000,random_forest,desc,0,None,0.910193023161554,0.011808677067331488,0.95179679998617,0.006131646450816327,0.9999568221070811,0.00012953367875646605,0.9999758045003629,7.258649891120906e-05,0.9997756554593916,0.0006730336218250032,0.3821634564751931,0.13081538760574737,2065.5,250.1,0.1,0.0,0.5,0.5385164807134505,0.30000000000000004,0.0,228.0,6.2,21.6,1.5,1.4832396974191326,2.821347195933177,2.5768197453450252,1.118033988749895,None
5,4,5000,random_forest,desc,0,None,0.9184048847804306,0.006567652241124224,0.9570110780332117,0.003296182870773756,1.0,0.0,1.0,0.0,1.0,0.0,0.293714377662399,0.13439268220497796,1872.9,189.9,0.0,0.0,0.3,0.30000000000000004,0.0,0.0,208.1,2.4,18.7,0.0,0.30000000000000004,1.624807680927192,1.4866068747318506,0.0,None
8,4,5000,random_forest,desc,0,None,0.8316557655038759,0.03001257046431282,0.8947181848547437,0.016517872713390353,0.997500148504559,0.0006036393445032326,0.9982891548712978,0.00041227341127744347,0.9936709108822688,0.0015289017154620592,0.5429662182997329,0.09156501115670014,846.0,311.2,2.9,0.0,0.0,0.8717797887081347,0.7,0.0,91.9,15.3,19.6,2.1,2.3430749027719964,4.817675788178362,4.862098312457287,2.3430749027719964,"{'n_estimators': 221, 'max_depth': 138, 'min_sample_split': 10, 'criterion': 'entropy'}"
10,4,5000,random_forest,desc,0,None,0.803544087491456,0.04575813936125038,0.8788383981504296,0.028582266164573655,0.9468296405755314,0.011301067457186446,0.9651752684797259,0.007313195263341656,0.8568979093365003,0.031092192032710745,0.4156641876188166,0.1533875799559312,371.1,106.1,21.7,5.1,2.507987240796891,4.5265881191025095,4.648655719667784,2.6627053911388696,39.9,5.1,9.1,1.9,1.7,1.9209372712298547,1.8681541692269403,1.57797338380595,"{'n_estimators': 3, 'max_depth': 254, 'min_sample_split': 10, 'criterion': 'gini'}"
11,4,5000,random_forest,desc,0,None,0.8359307359307359,0.06265701029324612,0.9077244045665098,0.03741737495822574,0.9520015270506109,0.009604263537467211,0.9721897953292856,0.005339277854508454,0.807390140717068,0.042711771625070276,0.15650712641209724,0.27827206820597594,160.6,21.9,7.8,1.4,1.2,2.5865034312755126,2.3579652245103193,1.2,17.3,0.5,2.8,0.7,1.004987562112089,0.6708203932499369,0.7483314773547882,1.004987562112089,"{'n_estimators': 3, 'max_depth': 130, 'min_sample_split': 16, 'criterion': 'gini'}"
13,4,5000,random_forest,desc,0,None,0.9174690328360052,0.008800069058852127,0.9567172030276074,0.004536640285404649,0.9675871954940536,0.006379897733520345,0.9825384558913834,0.003442109494047634,0.774228826293349,0.045532252180188644,0.13113185340682765,0.17593184351725652,894.5,54.7,29.0,2.8,3.5846896657869842,4.561797891182818,4.857983120596447,3.815756805667782,99.4,0.6,8.7,0.3,0.8,0.7999999999999999,1.0999999999999999,0.45825756949558394,"{'n_estimators': 3, 'max_depth': 551, 'min_sample_split': 21, 'criterion': 'gini'}"
34,4,5000,random_forest,desc,0,None,0.6107142857142858,0.11833007904914472,0.7302696794687642,0.09534188509166369,0.8904361911149519,0.025704614493355555,0.916208628006458,0.019722950840442028,0.760212495661561,0.056820692192186946,0.059388873706198386,0.27943465686514557,73.3,35.7,8.4,5.0,1.9000000000000001,2.238302928559939,2.009975124224178,1.7888543819998317,7.3,1.0,3.9,1.4,1.2688577540449522,0.8944271909999159,0.9433981132056605,1.2,"{'n_estimators': 3, 'max_depth': 214, 'min_sample_split': 12, 'criterion': 'entropy'}"
